City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,yellowknife,CA,66.56,broken clouds,62.456,-114.3525,The Explorer Hotel
5,east london,ZA,75.61,clear sky,-33.0153,27.9116,Tu Casa
6,hilo,US,91.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,castro,BR,65.32,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
11,rikitea,PF,69.24,overcast clouds,-23.1203,-134.9692,People ThankYou
13,nishihara,JP,85.28,few clouds,26.1842,127.7558,Minshuku Agaihama
16,manta,EC,75.94,scattered clouds,-0.95,-80.7333,Balandra Hotel
18,margate,GB,74.3,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
20,georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
22,ponta delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
23,lorengau,PG,79.75,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
26,hambantota,LK,78.06,broken clouds,6.1241,81.1185,Bungalow 63
29,oudtshoorn,ZA,69.6,clear sky,-33.5907,22.2014,Earthbound Guest House
30,ketchikan,US,71.89,few clouds,55.3422,-131.6461,Snow's Cove Lodge
31,naze,JP,79.81,overcast clouds,28.3667,129.4833,Shishime Hotel
32,hamilton,US,86.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
33,avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
35,alofi,NU,75.87,clear sky,-19.0595,-169.9187,Taloa Heights
37,sitka,US,69.69,overcast clouds,57.0531,-135.33,Westmark Sitka
38,jamestown,US,81.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,saint-philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
43,san quintin,MX,77.52,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
45,prince rupert,CA,70.48,clear sky,54.3161,-130.3201,Crest Hotel
46,kapaa,US,85.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
