City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,barrow,71.2906,-156.7887,41.02,mist,0.0,0,100,100,4.61,US
1,belfast,54.5833,-5.9333,64.22,overcast clouds,0.0,0,62,97,13.8,GB
2,yellowknife,62.456,-114.3525,66.56,broken clouds,0.0,0,55,63,5.99,CA
3,qaanaaq,77.484,-69.3632,37.83,overcast clouds,0.0,0,94,100,8.61,GL
4,hermanus,-34.4187,19.2345,59.81,clear sky,0.0,0,81,1,14.03,ZA
5,east london,-33.0153,27.9116,75.61,clear sky,0.0,0,35,1,11.59,ZA
6,hilo,19.7297,-155.09,91.27,scattered clouds,0.0,0,69,40,5.01,US
7,dikson,73.5069,80.5464,40.44,light rain,0.55,0,94,100,19.17,RU
8,saskylakh,71.9167,114.0833,40.6,overcast clouds,0.0,0,72,100,10.13,RU
9,krasnoselkup,65.7,82.4667,55.51,scattered clouds,0.0,0,96,39,11.83,RU
10,castro,-24.7911,-50.0119,65.32,broken clouds,0.0,0,65,59,3.78,BR
11,rikitea,-23.1203,-134.9692,69.24,overcast clouds,0.0,0,68,100,14.23,PF
12,severo-kurilsk,50.6789,156.125,53.1,overcast clouds,0.0,0,93,100,20.89,RU
13,nishihara,26.1842,127.7558,85.28,few clouds,0.0,0,84,20,13.8,JP
14,chuy,-33.6971,-53.4616,63.93,overcast clouds,0.0,0,80,89,3.83,UY
15,bluff,-46.6,168.3333,32.81,broken clouds,0.0,0,78,60,7.63,NZ
16,manta,-0.95,-80.7333,75.94,scattered clouds,0.0,0,73,32,13.4,EC
17,nuuk,64.1835,-51.7216,47.01,overcast clouds,0.0,0,87,100,13.8,GL
18,margate,51.3813,1.3862,74.3,broken clouds,0.0,0,88,84,1.01,GB
19,dudinka,69.4058,86.1778,46.54,overcast clouds,0.0,0,83,94,5.95,RU
20,georgetown,5.4112,100.3354,80.89,few clouds,0.0,0,91,20,1.14,MY
21,upernavik,72.7868,-56.1549,42.57,overcast clouds,0.0,0,79,98,5.57,GL
22,ponta delgada,37.7333,-25.6667,74.12,scattered clouds,0.0,0,68,40,4.61,PT
23,lorengau,-2.0226,147.2712,79.75,clear sky,0.0,0,72,7,5.32,PG
24,mataura,-46.1927,168.8643,32.49,overcast clouds,0.0,0,86,100,2.53,NZ
25,tuktoyaktuk,69.4541,-133.0374,57.2,overcast clouds,0.0,0,88,100,5.75,CA
26,hambantota,6.1241,81.1185,78.06,broken clouds,0.0,0,82,71,18.43,LK
27,punta arenas,-53.15,-70.9167,44.11,scattered clouds,0.0,0,65,37,19.51,CL
28,vanavara,60.34,102.2797,44.56,overcast clouds,0.0,0,96,98,4.63,RU
29,oudtshoorn,-33.5907,22.2014,69.6,clear sky,0.0,0,27,3,6.55,ZA
30,ketchikan,55.3422,-131.6461,71.89,few clouds,0.0,0,68,15,5.48,US
31,naze,28.3667,129.4833,79.81,overcast clouds,0.0,0,86,100,10.94,JP
32,hamilton,39.1834,-84.5333,86.74,clear sky,0.0,0,47,0,3.0,US
33,avarua,-21.2078,-159.775,75.25,broken clouds,0.0,0,69,75,9.22,CK
34,busselton,-33.65,115.3333,52.75,overcast clouds,0.0,0,67,96,7.81,AU
35,alofi,-19.0595,-169.9187,75.87,clear sky,0.0,0,76,9,14.43,NU
36,chokurdakh,70.6333,147.9167,39.36,overcast clouds,0.0,0,85,100,11.92,RU
37,sitka,57.0531,-135.33,69.69,overcast clouds,0.0,0,74,86,4.99,US
38,jamestown,42.097,-79.2353,81.05,scattered clouds,0.0,0,55,40,5.99,US
39,saint-philippe,-21.3585,55.7679,71.19,scattered clouds,0.0,0,73,34,12.12,RE
40,bredasdorp,-34.5322,20.0403,54.07,clear sky,0.0,0,83,2,1.97,ZA
41,hobart,-42.8794,147.3294,48.25,broken clouds,0.0,0,87,75,4.61,AU
42,ushuaia,-54.8,-68.3,37.99,few clouds,0.0,0,72,24,8.59,AR
43,san quintin,30.4833,-115.95,77.52,few clouds,0.0,0,66,13,8.01,MX
44,boguchany,58.3814,97.4531,50.47,overcast clouds,0.0,0,99,95,3.51,RU
45,prince rupert,54.3161,-130.3201,70.48,clear sky,0.0,0,70,0,4.47,CA
46,kapaa,22.0752,-159.319,85.1,light rain,0.51,0,75,4,7.58,US
47,bechem,7.0903,-2.025,70.34,few clouds,0.0,0,96,11,2.04,GH
48,businga,3.3333,20.8833,73.98,overcast clouds,0.0,0,89,100,3.18,CD
49,ostrovnoy,68.0531,39.5131,46.47,overcast clouds,0.0,0,88,100,2.95,RU
50,meulaboh,4.1363,96.1285,74.82,overcast clouds,0.0,0,93,100,5.1,ID
51,dzaoudzi,-12.7887,45.2699,71.49,clear sky,0.0,0,83,0,3.44,YT
52,trogir,43.5125,16.2517,80.65,clear sky,0.0,0,41,0,5.75,HR
53,solnechnyy,50.7214,136.6319,54.54,broken clouds,0.0,0,76,84,3.06,RU
54,poya,-21.35,165.15,68.88,clear sky,0.0,0,81,0,3.24,NC
55,sorong,-0.8833,131.25,77.92,overcast clouds,0.0,0,84,100,3.27,ID
56,portland,45.5234,-122.6762,90.36,clear sky,0.0,0,53,0,8.01,US
57,whitehorse,60.7161,-135.0538,66.09,overcast clouds,0.0,0,59,100,13.0,CA
58,la orilla,17.9833,-102.2333,87.12,clear sky,0.0,0,61,10,11.01,MX
59,puerto leguizamo,-0.1934,-74.7819,82.44,overcast clouds,0.0,0,64,99,1.45,CO
60,kaitangata,-46.2817,169.8464,37.44,overcast clouds,0.0,0,77,100,3.18,NZ
61,ponta do sol,32.6667,-17.1,74.71,clear sky,0.0,0,77,1,4.12,PT
62,cuamba,-14.8031,36.5372,66.74,clear sky,0.0,0,65,5,6.33,MZ
63,srandakan,-7.9386,110.2506,73.96,overcast clouds,0.0,0,85,99,9.33,ID
64,khatanga,71.9667,102.5,46.9,overcast clouds,0.0,0,95,100,14.43,RU
65,katsuura,35.1333,140.3,76.35,overcast clouds,0.0,0,89,99,11.36,JP
66,hobyo,5.3505,48.5268,76.64,overcast clouds,0.0,0,81,99,22.1,SO
67,albany,42.6001,-73.9662,85.23,broken clouds,0.0,0,52,82,7.54,US
68,menongue,-14.6585,17.691,61.32,scattered clouds,0.0,0,34,26,4.76,AO
69,sabaudia,41.3003,13.0282,77.04,few clouds,0.0,0,76,18,9.17,IT
70,santa maria,-29.6842,-53.8069,69.1,clear sky,0.0,0,73,0,3.44,BR
71,vestmanna,62.1564,-7.1664,52.72,light intensity drizzle,0.0,0,94,100,6.91,FO
72,kodiak,57.79,-152.4072,58.51,broken clouds,0.0,0,88,75,6.91,US
73,cape town,-33.9258,18.4232,59.34,light rain,0.25,0,79,100,11.99,ZA
74,okhotsk,59.3833,143.3,55.18,overcast clouds,0.0,0,77,100,10.85,RU
75,arraial do cabo,-22.9661,-42.0278,66.63,overcast clouds,0.0,0,87,99,21.9,BR
76,ilulissat,69.2167,-51.1,53.62,broken clouds,0.0,0,47,75,16.11,GL
77,katangli,51.7102,143.2326,50.61,clear sky,0.0,0,92,5,10.4,RU
78,new norfolk,-42.7826,147.0587,48.92,overcast clouds,0.0,0,88,100,3.06,AU
79,alyangula,-13.8483,136.4192,68.31,broken clouds,0.0,0,51,55,20.6,AU
80,esso,55.9333,158.7,52.3,light rain,0.15,0,94,100,4.9,RU
81,puerto ayora,-0.7393,-90.3518,69.55,overcast clouds,0.0,0,83,96,3.0,EC
82,san carlos de bariloche,-41.1456,-71.3082,43.27,scattered clouds,0.0,0,66,47,8.66,AR
83,port lincoln,-34.7333,135.8667,53.11,overcast clouds,0.0,0,87,100,6.87,AU
84,longyearbyen,78.2186,15.6401,42.64,light rain,0.0,0,81,75,11.5,SJ
85,santa fe,-31.6333,-60.7,86.0,clear sky,0.0,0,35,6,4.0,AR
86,la ronge,55.1001,-105.2842,68.92,few clouds,0.0,0,51,21,3.8,CA
87,verkhnyaya inta,65.9811,60.3094,47.95,clear sky,0.0,0,72,6,10.27,RU
